timestamp_key,timestamp_date,timestamp_time,event_date,event_begin,event_end,event_particulars
860142_2022-05-14_12:30:00.000000,2022-05-14,12:30:00.000000,2022-05-14,1236,1237,III/1
860142_2022-05-14_14:15:00.000000,2022-05-14,14:15:00.000000,2022-05-14,1426,1426,III/1
860524_2022-05-18_10:15:00.000000,2022-05-18,10:15:00.000000,2022-05-18,1025,1025,III/1
860524_2022-05-18_12:15:00.000000,2022-05-18,12:15:00.000000,2022-05-18,1217,1219,III/1
860524_2022-05-18_15:15:00.000000,2022-05-18,15:15:00.000000,2022-05-18,1529,1532,III/1
860524_2022-05-18_15:30:00.000000,2022-05-18,15:30:00.000000,2022-05-18,1529,1532,III/1
861374_2022-05-20_11:30:00.000000,2022-05-20,11:30:00.000000,2022-05-20,1142,1149,III/2
861374_2022-05-20_11:45:00.000000,2022-05-20,11:45:00.000000,2022-05-20,1142,1149,III/2
861374_2022-05-20_12:45:00.000000,2022-05-20,12:45:00.000000,2022-05-20,1248,1249,III/1
861374_2022-05-20_14:15:00.000000,2022-05-20,14:15:00.000000,2022-05-20,1424,1426,III/1
861374_2022-05-20_16:45:00.000000,2022-05-20,16:45:00.000000,2022-05-20,1648,1648,III/1
861374_2022-05-20_17:00:00.000000,2022-05-20,17:00:00.000000,2022-05-20,1703,1703,III/1
861460_2022-05-21_14:15:00.000000,2022-05-21,14:15:00.000000,2022-05-21,1429,1436,III/3
861426_2022-05-21_14:15:00.000000,2022-05-21,14:15:00.000000,2022-05-21,1429,1436,III/3
861428_2022-05-21_14:15:00.000000,2022-05-21,14:15:00.000000,2022-05-21,1429,1436,III/3
861460_2022-05-21_14:30:00.000000,2022-05-21,14:30:00.000000,2022-05-21,1429,1436,III/3
861426_2022-05-21_14:30:00.000000,2022-05-21,14:30:00.000000,2022-05-21,1429,1436,III/3
861428_2022-05-21_14:30:00.000000,2022-05-21,14:30:00.000000,2022-05-21,1429,1436,III/3
861460_2022-05-21_16:30:00.000000,2022-05-21,16:30:00.000000,2022-05-21,1636,1636,III/1
861460_2022-05-21_16:45:00.000000,2022-05-21,16:45:00.000000,2022-05-21,1655,1658,III/1
861456_2022-05-22_07:45:00.000000,2022-05-22,07:45:00.000000,2022-05-22,0747,0749,III/2
861416_2022-05-22_07:45:00.000000,2022-05-22,07:45:00.000000,2022-05-22,0747,0749,III/2
861414_2022-05-22_07:45:00.000000,2022-05-22,07:45:00.000000,2022-05-22,0747,0749,III/2
861456_2022-05-22_09:45:00.000000,2022-05-22,09:45:00.000000,2022-05-22,0945,0946,III/1
861416_2022-05-22_09:45:00.000000,2022-05-22,09:45:00.000000,2022-05-22,0945,0946,III/1
861414_2022-05-22_09:45:00.000000,2022-05-22,09:45:00.000000,2022-05-22,0945,0946,III/1
861456_2022-05-22_14:00:00.000000,2022-05-22,14:00:00.000000,2022-05-22,1410,1415,III/1
861416_2022-05-22_14:00:00.000000,2022-05-22,14:00:00.000000,2022-05-22,1410,1415,III/1
861414_2022-05-22_14:00:00.000000,2022-05-22,14:00:00.000000,2022-05-22,1410,1415,III/1
861456_2022-05-22_15:30:00.000000,2022-05-22,15:30:00.000000,2022-05-22,1533,1534,III/2
861456_2022-05-22_16:45:00.000000,2022-05-22,16:45:00.000000,2022-05-22,1655,1656,III/1
861452_2022-05-23_11:45:00.000000,2022-05-23,11:45:00.000000,2022-05-23,1151,1154,III/1
861402_2022-05-23_11:45:00.000000,2022-05-23,11:45:00.000000,2022-05-23,1151,1154,III/1
861404_2022-05-23_11:45:00.000000,2022-05-23,11:45:00.000000,2022-05-23,1151,1154,III/1
862114_2022-05-24_06:30:00.000000,2022-05-24,06:30:00.000000,2022-05-24,0631,0632,III/1
862114_2022-05-24_14:15:00.000000,2022-05-24,14:15:00.000000,2022-05-24,1426,1426,III/1
862240_2022-05-24_14:15:00.000000,2022-05-24,14:15:00.000000,2022-05-24,1426,1426,III/1
862238_2022-05-24_14:15:00.000000,2022-05-24,14:15:00.000000,2022-05-24,1426,1426,III/1
862114_2022-05-24_16:00:00.000000,2022-05-24,16:00:00.000000,2022-05-24,1604,1605,III/1
862114_2022-05-24_16:15:00.000000,2022-05-24,16:15:00.000000,2022-05-24,1624,1625,III/1
862222_2022-05-25_09:30:00.000000,2022-05-25,09:30:00.000000,2022-05-25,0942,0945,III/1
862162_2022-05-25_09:30:00.000000,2022-05-25,09:30:00.000000,2022-05-25,0942,0945,III/1
862164_2022-05-25_09:30:00.000000,2022-05-25,09:30:00.000000,2022-05-25,0942,0945,III/1
862222_2022-05-25_10:45:00.000000,2022-05-25,10:45:00.000000,2022-05-25,1048,1048,III/1
862162_2022-05-25_10:45:00.000000,2022-05-25,10:45:00.000000,2022-05-25,1048,1048,III/1
862164_2022-05-25_10:45:00.000000,2022-05-25,10:45:00.000000,2022-05-25,1048,1048,III/1
862222_2022-05-25_12:30:00.000000,2022-05-25,12:30:00.000000,2022-05-25,1236,1237,III/1
862162_2022-05-25_12:30:00.000000,2022-05-25,12:30:00.000000,2022-05-25,1236,1237,III/1
862164_2022-05-25_12:30:00.000000,2022-05-25,12:30:00.000000,2022-05-25,1236,1237,III/1
862222_2022-05-25_16:45:00.000000,2022-05-25,16:45:00.000000,2022-05-25,1653,1654,III/1
862222_2022-05-25_17:30:00.000000,2022-05-25,17:30:00.000000,2022-05-25,1732,1732,III/1
862222_2022-05-25_17:30:00.000000,2022-05-25,17:30:00.000000,2022-05-25,1732,1732,III/1
862222_2022-05-25_18:00:00.000000,2022-05-25,18:00:00.000000,2022-05-25,1813,1817,III/2
862222_2022-05-25_18:15:00.000000,2022-05-25,18:15:00.000000,2022-05-25,1813,1817,III/2
862222_2022-05-25_18:15:00.000000,2022-05-25,18:15:00.000000,2022-05-25,1817,1837,II/3    1638
862222_2022-05-25_18:30:00.000000,2022-05-25,18:30:00.000000,2022-05-25,1817,1837,II/3    1638
862222_2022-05-25_18:15:00.000000,2022-05-25,18:15:00.000000,2022-05-25,1824,1853,IV/1
862222_2022-05-25_18:30:00.000000,2022-05-25,18:30:00.000000,2022-05-25,1824,1853,IV/1
862222_2022-05-25_18:45:00.000000,2022-05-25,18:45:00.000000,2022-05-25,1824,1853,IV/1
862344_2022-05-26_06:45:00.000000,2022-05-26,06:45:00.000000,2022-05-26,0652,0653,III/2
862344_2022-05-26_14:45:00.000000,2022-05-26,14:45:00.000000,2022-05-26,1457,1457,III/1
862356_2022-05-27_10:45:00.000000,2022-05-27,10:45:00.000000,2022-05-27,1056,1056,III/1
862188_2022-05-27_10:45:00.000000,2022-05-27,10:45:00.000000,2022-05-27,1056,1056,III/1
862186_2022-05-27_10:45:00.000000,2022-05-27,10:45:00.000000,2022-05-27,1056,1056,III/1
862356_2022-05-27_12:45:00.000000,2022-05-27,12:45:00.000000,2022-05-27,1249,1253,III/2
862188_2022-05-27_12:45:00.000000,2022-05-27,12:45:00.000000,2022-05-27,1249,1253,III/2
862186_2022-05-27_12:45:00.000000,2022-05-27,12:45:00.000000,2022-05-27,1249,1253,III/2
862356_2022-05-27_14:15:00.000000,2022-05-27,14:15:00.000000,2022-05-27,1426,1436,III/1
862188_2022-05-27_14:15:00.000000,2022-05-27,14:15:00.000000,2022-05-27,1426,1436,III/1
862186_2022-05-27_14:15:00.000000,2022-05-27,14:15:00.000000,2022-05-27,1426,1436,III/1
862356_2022-05-27_14:30:00.000000,2022-05-27,14:30:00.000000,2022-05-27,1426,1436,III/1
862188_2022-05-27_14:30:00.000000,2022-05-27,14:30:00.000000,2022-05-27,1426,1436,III/1
862186_2022-05-27_14:30:00.000000,2022-05-27,14:30:00.000000,2022-05-27,1426,1436,III/1
862356_2022-05-27_18:45:00.000000,2022-05-27,18:45:00.000000,2022-05-27,1847,1847,III/1
862352_2022-05-28_09:30:00.000000,2022-05-28,09:30:00.000000,2022-05-28,0931,0931,III/1
862198_2022-05-28_09:30:00.000000,2022-05-28,09:30:00.000000,2022-05-28,0931,0931,III/1
862200_2022-05-28_09:30:00.000000,2022-05-28,09:30:00.000000,2022-05-28,0931,0931,III/1
862352_2022-05-28_12:00:00.000000,2022-05-28,12:00:00.000000,2022-05-28,1207,1211,III/1
862198_2022-05-28_12:00:00.000000,2022-05-28,12:00:00.000000,2022-05-28,1207,1211,III/1
862200_2022-05-28_12:00:00.000000,2022-05-28,12:00:00.000000,2022-05-28,1207,1211,III/1
862352_2022-05-28_12:45:00.000000,2022-05-28,12:45:00.000000,2022-05-28,1253,1302,III/1
862198_2022-05-28_12:45:00.000000,2022-05-28,12:45:00.000000,2022-05-28,1253,1302,III/1
862200_2022-05-28_12:45:00.000000,2022-05-28,12:45:00.000000,2022-05-28,1253,1302,III/1
862352_2022-05-28_13:00:00.000000,2022-05-28,13:00:00.000000,2022-05-28,1253,1302,III/1
862198_2022-05-28_13:00:00.000000,2022-05-28,13:00:00.000000,2022-05-28,1253,1302,III/1
862200_2022-05-28_13:00:00.000000,2022-05-28,13:00:00.000000,2022-05-28,1253,1302,III/1
862352_2022-05-28_13:45:00.000000,2022-05-28,13:45:00.000000,2022-05-28,1347,1348,III/2
862198_2022-05-28_13:45:00.000000,2022-05-28,13:45:00.000000,2022-05-28,1347,1348,III/2
862200_2022-05-28_13:45:00.000000,2022-05-28,13:45:00.000000,2022-05-28,1347,1348,III/2
862352_2022-05-28_15:00:00.000000,2022-05-28,15:00:00.000000,2022-05-28,1507,1508,III/1
862352_2022-05-28_15:45:00.000000,2022-05-28,15:45:00.000000,2022-05-28,1558,1610,II/1    716
862352_2022-05-28_16:00:00.000000,2022-05-28,16:00:00.000000,2022-05-28,1558,1610,II/1    716
862352_2022-05-28_16:45:00.000000,2022-05-28,16:45:00.000000,2022-05-28,1654,1654,III/1
862352_2022-05-28_18:45:00.000000,2022-05-28,18:45:00.000000,2022-05-28,1858,1903,III/2
862352_2022-05-28_19:00:00.000000,2022-05-28,19:00:00.000000,2022-05-28,1858,1903,III/2
862348_2022-05-29_06:45:00.000000,2022-05-29,06:45:00.000000,2022-05-29,0659,0659,III/1
862348_2022-05-29_10:45:00.000000,2022-05-29,10:45:00.000000,2022-05-29,1053,1054,III/1
862348_2022-05-29_12:45:00.000000,2022-05-29,12:45:00.000000,2022-05-29,1256,1259,III/1
862348_2022-05-29_14:00:00.000000,2022-05-29,14:00:00.000000,2022-05-29,1413,1414,III/1
862348_2022-05-29_14:30:00.000000,2022-05-29,14:30:00.000000,2022-05-29,1442,1442,III/1
862616_2022-05-31_07:15:00.000000,2022-05-31,07:15:00.000000,2022-05-31,0727,0727,III/1
862616_2022-05-31_08:00:00.000000,2022-05-31,08:00:00.000000,2022-05-31,0801,0803,III/1
862616_2022-05-31_09:00:00.000000,2022-05-31,09:00:00.000000,2022-05-31,0913,0913,III/1
862616_2022-05-31_09:30:00.000000,2022-05-31,09:30:00.000000,2022-05-31,0942,0942,III/1
862616_2022-05-31_10:30:00.000000,2022-05-31,10:30:00.000000,2022-05-31,1041,1042,III/1
862616_2022-05-31_11:45:00.000000,2022-05-31,11:45:00.000000,2022-05-31,1150,1150,III/1
862616_2022-05-31_12:15:00.000000,2022-05-31,12:15:00.000000,2022-05-31,1227,1228,III/1
862616_2022-05-31_13:00:00.000000,2022-05-31,13:00:00.000000,2022-05-31,1313,1315,III/1
862616_2022-05-31_14:45:00.000000,2022-05-31,14:45:00.000000,2022-05-31,1447,1447,III/1
862622_2022-06-01_12:00:00.000000,2022-06-01,12:00:00.000000,2022-06-01,1205,1206,III/1
862622_2022-06-01_12:30:00.000000,2022-06-01,12:30:00.000000,2022-06-01,1231,1232,III/1
862622_2022-06-01_13:00:00.000000,2022-06-01,13:00:00.000000,2022-06-01,1312,1313,III/1
863014_2022-06-02_09:45:00.000000,2022-06-02,09:45:00.000000,2022-06-02,0945,0946,III/1
863016_2022-06-02_09:45:00.000000,2022-06-02,09:45:00.000000,2022-06-02,0945,0946,III/1
863014_2022-06-02_13:00:00.000000,2022-06-02,13:00:00.000000,2022-06-02,1303,1304,III/1
863016_2022-06-02_13:00:00.000000,2022-06-02,13:00:00.000000,2022-06-02,1303,1304,III/1
862918_2022-06-03_07:00:00.000000,2022-06-03,07:00:00.000000,2022-06-03,0714,0715,III/2
862918_2022-06-03_08:15:00.000000,2022-06-03,08:15:00.000000,2022-06-03,0823,0823,III/1
862918_2022-06-03_09:00:00.000000,2022-06-03,09:00:00.000000,2022-06-03,0905,0906,III/2
862918_2022-06-03_09:45:00.000000,2022-06-03,09:45:00.000000,2022-06-03,0954,1002,III/2
862918_2022-06-03_10:00:00.000000,2022-06-03,10:00:00.000000,2022-06-03,0954,1002,III/2
862914_2022-06-04_06:45:00.000000,2022-06-04,06:45:00.000000,2022-06-04,0650,0650,III/1
862914_2022-06-04_10:30:00.000000,2022-06-04,10:30:00.000000,2022-06-04,1033,1033,III/1
862906_2022-06-06_10:15:00.000000,2022-06-06,10:15:00.000000,2022-06-06,1025,1026,III/1
862906_2022-06-06_12:30:00.000000,2022-06-06,12:30:00.000000,2022-06-06,1241,1243,III/1
862906_2022-06-06_16:15:00.000000,2022-06-06,16:15:00.000000,2022-06-06,1625,1625,III/2
864032_2022-06-11_12:00:00.000000,2022-06-11,12:00:00.000000,2022-06-11,1214,1215,III/1
864032_2022-06-11_18:30:00.000000,2022-06-11,18:30:00.000000,2022-06-11,1832,1832,III/2
864028_2022-06-12_10:45:00.000000,2022-06-12,10:45:00.000000,2022-06-12,1059,1101,III/1
864028_2022-06-12_11:00:00.000000,2022-06-12,11:00:00.000000,2022-06-12,1059,1101,III/1
864028_2022-06-12_12:00:00.000000,2022-06-12,12:00:00.000000,2022-06-12,1206,1208,III/2
864028_2022-06-12_14:30:00.000000,2022-06-12,14:30:00.000000,2022-06-12,1432,1432,III/2
864024_2022-06-13_09:30:00.000000,2022-06-13,09:30:00.000000,2022-06-13,0934,0943,III/2
864024_2022-06-13_15:15:00.000000,2022-06-13,15:15:00.000000,2022-06-13,1515,1517,III/2
864024_2022-06-13_15:45:00.000000,2022-06-13,15:45:00.000000,2022-06-13,1553,1603,III/1
864024_2022-06-13_16:00:00.000000,2022-06-13,16:00:00.000000,2022-06-13,1553,1603,III/1
864024_2022-06-13_17:30:00.000000,2022-06-13,17:30:00.000000,2022-06-13,1737,1737,III/1
864024_2022-06-13_18:15:00.000000,2022-06-13,18:15:00.000000,2022-06-13,1822,1826,III/1
864024_2022-06-13_19:00:00.000000,2022-06-13,19:00:00.000000,2022-06-13,1914,1914,III/1
864586_2022-06-15_07:15:00.000000,2022-06-15,07:15:00.000000,2022-06-15,0726,0728,III/1
864586_2022-06-15_09:00:00.000000,2022-06-15,09:00:00.000000,2022-06-15,0904,0905,III/1
864586_2022-06-15_11:00:00.000000,2022-06-15,11:00:00.000000,2022-06-15,1107,1110,III/1
864836_2022-06-17_07:00:00.000000,2022-06-17,07:00:00.000000,2022-06-17,0708,0708,III/1
864836_2022-06-17_07:30:00.000000,2022-06-17,07:30:00.000000,2022-06-17,0734,0735,III/1
864836_2022-06-17_09:30:00.000000,2022-06-17,09:30:00.000000,2022-06-17,0938,0938,III/1
864836_2022-06-17_12:45:00.000000,2022-06-17,12:45:00.000000,2022-06-17,1259,1301,III/1
864836_2022-06-17_13:00:00.000000,2022-06-17,13:00:00.000000,2022-06-17,1259,1301,III/1
864836_2022-06-17_13:45:00.000000,2022-06-17,13:45:00.000000,2022-06-17,1351,1352,III/1
864636_2022-06-19_07:00:00.000000,2022-06-19,07:00:00.000000,2022-06-19,0701,0710,III/1
864636_2022-06-19_11:00:00.000000,2022-06-19,11:00:00.000000,2022-06-19,1105,1105,III/1
864640_2022-06-20_13:15:00.000000,2022-06-20,13:15:00.000000,2022-06-20,1323,1324,III/1
864648_2022-06-22_10:15:00.000000,2022-06-22,10:15:00.000000,2022-06-22,1028,1030,III/2
864648_2022-06-22_13:30:00.000000,2022-06-22,13:30:00.000000,2022-06-22,1334,1335,III/2
864648_2022-06-22_16:15:00.000000,2022-06-22,16:15:00.000000,2022-06-22,1629,1630,III/2
864648_2022-06-22_17:15:00.000000,2022-06-22,17:15:00.000000,2022-06-22,1715,1720,III/3
864648_2022-06-22_18:45:00.000000,2022-06-22,18:45:00.000000,2022-06-22,1853,1853,III/2
864892_2022-06-25_08:15:00.000000,2022-06-25,08:15:00.000000,2022-06-25,0819,0819,III/2
864892_2022-06-25_09:30:00.000000,2022-06-25,09:30:00.000000,2022-06-25,0938,0939,III/1
864892_2022-06-25_09:30:00.000000,2022-06-25,09:30:00.000000,2022-06-25,0942,1122,III/1
864892_2022-06-25_09:45:00.000000,2022-06-25,09:45:00.000000,2022-06-25,0942,1122,III/1
864892_2022-06-25_10:00:00.000000,2022-06-25,10:00:00.000000,2022-06-25,0942,1122,III/1
864892_2022-06-25_10:15:00.000000,2022-06-25,10:15:00.000000,2022-06-25,0942,1122,III/1
864892_2022-06-25_10:30:00.000000,2022-06-25,10:30:00.000000,2022-06-25,0942,1122,III/1
864892_2022-06-25_10:45:00.000000,2022-06-25,10:45:00.000000,2022-06-25,0942,1122,III/1
864892_2022-06-25_13:45:00.000000,2022-06-25,13:45:00.000000,2022-06-25,1357,1401,III/2
864892_2022-06-25_14:00:00.000000,2022-06-25,14:00:00.000000,2022-06-25,1357,1401,III/2
864892_2022-06-25_16:15:00.000000,2022-06-25,16:15:00.000000,2022-06-25,1626,1630,III/1
864892_2022-06-25_17:00:00.000000,2022-06-25,17:00:00.000000,2022-06-25,1711,1712,III/2
864892_2022-06-25_19:00:00.000000,2022-06-25,19:00:00.000000,2022-06-25,1910,1911,III/1
864896_2022-06-26_07:15:00.000000,2022-06-26,07:15:00.000000,2022-06-26,0728,0729,III/1
864896_2022-06-26_08:00:00.000000,2022-06-26,08:00:00.000000,2022-06-26,0805,0806,III/1
864896_2022-06-26_10:00:00.000000,2022-06-26,10:00:00.000000,2022-06-26,1004,1005,III/1
864896_2022-06-26_11:15:00.000000,2022-06-26,11:15:00.000000,2022-06-26,1125,1126,III/1
864896_2022-06-26_13:45:00.000000,2022-06-26,13:45:00.000000,2022-06-26,1348,1349,III/1
864896_2022-06-26_15:45:00.000000,2022-06-26,15:45:00.000000,2022-06-26,1556,1556,III/1
864896_2022-06-26_17:15:00.000000,2022-06-26,17:15:00.000000,2022-06-26,1726,1726,III/1
864896_2022-06-26_18:15:00.000000,2022-06-26,18:15:00.000000,2022-06-26,1829,1829,III/2
865080_2022-07-01_07:45:00.000000,2022-07-01,07:45:00.000000,2022-07-01,0751,0753,III/2
865080_2022-07-01_11:30:00.000000,2022-07-01,11:30:00.000000,2022-07-01,1136,1146,III/2
865080_2022-07-01_11:45:00.000000,2022-07-01,11:45:00.000000,2022-07-01,1136,1146,III/2
865080_2022-07-01_11:45:00.000000,2022-07-01,11:45:00.000000,2022-07-01,1145,1153,III/1
865080_2022-07-01_16:30:00.000000,2022-07-01,16:30:00.000000,2022-07-01,1633,1638,III/1
865380_2022-07-02_08:30:00.000000,2022-07-02,08:30:00.000000,2022-07-02,0834,0835,III/2
865380_2022-07-02_11:15:00.000000,2022-07-02,11:15:00.000000,2022-07-02,1118,1127,III/1
865380_2022-07-02_13:00:00.000000,2022-07-02,13:00:00.000000,2022-07-02,1313,1314,III/1
865380_2022-07-02_13:15:00.000000,2022-07-02,13:15:00.000000,2022-07-02,1317,1319,III/2
865380_2022-07-02_14:45:00.000000,2022-07-02,14:45:00.000000,2022-07-02,1454,1457,V/2
865380_2022-07-02_16:15:00.000000,2022-07-02,16:15:00.000000,2022-07-02,1627,1628,III/2
