timestamps_key,date,time,labels
859328_2022-05-09_06:45:00.000000,2022-05-09,06:45:00.000000,3
859328_2022-05-09_10:45:00.000000,2022-05-09,10:45:00.000000,3
859328_2022-05-09_11:00:00.000000,2022-05-09,11:00:00.000000,3
859328_2022-05-09_12:30:00.000000,2022-05-09,12:30:00.000000,3
859690_2022-05-11_12:22:44.000000,2022-05-11,12:22:44.000000,3
859690_2022-05-11_12:22:44.000000,2022-05-11,12:22:44.000000,3
859690_2022-05-11_17:07:44.000000,2022-05-11,17:07:44.000000,3
859728_2022-05-12_07:30:00.000000,2022-05-12,07:30:00.000000,3
859726_2022-05-12_07:30:00.000000,2022-05-12,07:30:00.000000,3
859702_2022-05-12_07:30:00.000000,2022-05-12,07:30:00.000000,3
859728_2022-05-12_07:45:00.000000,2022-05-12,07:45:00.000000,3
859702_2022-05-12_07:45:00.000000,2022-05-12,07:45:00.000000,3
859728_2022-05-12_09:15:00.000000,2022-05-12,09:15:00.000000,3
859702_2022-05-12_09:15:00.000000,2022-05-12,09:15:00.000000,3
859728_2022-05-12_10:15:00.000000,2022-05-12,10:15:00.000000,3
859702_2022-05-12_10:15:00.000000,2022-05-12,10:15:00.000000,3
859728_2022-05-12_11:45:00.000000,2022-05-12,11:45:00.000000,3
859702_2022-05-12_11:45:00.000000,2022-05-12,11:45:00.000000,3
859728_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,3
859702_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,3
859728_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,3
859702_2022-05-12_12:45:00.000000,2022-05-12,12:45:00.000000,3
859736_2022-05-13_06:45:00.000000,2022-05-13,06:45:00.000000,3
859736_2022-05-13_07:45:00.000000,2022-05-13,07:45:00.000000,3
859736_2022-05-13_08:00:00.000000,2022-05-13,08:00:00.000000,3
859736_2022-05-13_11:30:00.000000,2022-05-13,11:30:00.000000,3
859736_2022-05-13_11:45:00.000000,2022-05-13,11:45:00.000000,3
859736_2022-05-13_12:00:00.000000,2022-05-13,12:00:00.000000,3
859736_2022-05-13_12:30:00.000000,2022-05-13,12:30:00.000000,3
859736_2022-05-13_14:45:00.000000,2022-05-13,14:45:00.000000,3
859736_2022-05-13_15:30:00.000000,2022-05-13,15:30:00.000000,3
860142_2022-05-14_11:45:00.000000,2022-05-14,11:45:00.000000,3
860142_2022-05-14_12:30:00.000000,2022-05-14,12:30:00.000000,3
860142_2022-05-14_14:15:00.000000,2022-05-14,14:15:00.000000,3
860524_2022-05-18_10:15:00.000000,2022-05-18,10:15:00.000000,3
860524_2022-05-18_12:15:00.000000,2022-05-18,12:15:00.000000,3
860524_2022-05-18_15:15:00.000000,2022-05-18,15:15:00.000000,3
860524_2022-05-18_15:30:00.000000,2022-05-18,15:30:00.000000,3
861374_2022-05-20_11:30:00.000000,2022-05-20,11:30:00.000000,3
861374_2022-05-20_11:45:00.000000,2022-05-20,11:45:00.000000,3
861374_2022-05-20_12:45:00.000000,2022-05-20,12:45:00.000000,3
861374_2022-05-20_14:15:00.000000,2022-05-20,14:15:00.000000,3
861374_2022-05-20_16:45:00.000000,2022-05-20,16:45:00.000000,3
861374_2022-05-20_17:00:00.000000,2022-05-20,17:00:00.000000,3
861460_2022-05-21_14:15:00.000000,2022-05-21,14:15:00.000000,3
861426_2022-05-21_14:15:00.000000,2022-05-21,14:15:00.000000,3
861428_2022-05-21_14:15:00.000000,2022-05-21,14:15:00.000000,3
861460_2022-05-21_14:30:00.000000,2022-05-21,14:30:00.000000,3
861426_2022-05-21_14:30:00.000000,2022-05-21,14:30:00.000000,3
861428_2022-05-21_14:30:00.000000,2022-05-21,14:30:00.000000,3
861460_2022-05-21_16:30:00.000000,2022-05-21,16:30:00.000000,3
861460_2022-05-21_16:45:00.000000,2022-05-21,16:45:00.000000,3
861456_2022-05-22_07:45:00.000000,2022-05-22,07:45:00.000000,3
861416_2022-05-22_07:45:00.000000,2022-05-22,07:45:00.000000,3
861414_2022-05-22_07:45:00.000000,2022-05-22,07:45:00.000000,3
861456_2022-05-22_09:45:00.000000,2022-05-22,09:45:00.000000,3
861416_2022-05-22_09:45:00.000000,2022-05-22,09:45:00.000000,3
861414_2022-05-22_09:45:00.000000,2022-05-22,09:45:00.000000,3
861456_2022-05-22_14:00:00.000000,2022-05-22,14:00:00.000000,3
861416_2022-05-22_14:00:00.000000,2022-05-22,14:00:00.000000,3
861414_2022-05-22_14:00:00.000000,2022-05-22,14:00:00.000000,3
861456_2022-05-22_15:30:00.000000,2022-05-22,15:30:00.000000,3
861456_2022-05-22_16:45:00.000000,2022-05-22,16:45:00.000000,3
861452_2022-05-23_11:45:00.000000,2022-05-23,11:45:00.000000,3
861402_2022-05-23_11:45:00.000000,2022-05-23,11:45:00.000000,3
861404_2022-05-23_11:45:00.000000,2022-05-23,11:45:00.000000,3
862114_2022-05-24_06:30:00.000000,2022-05-24,06:30:00.000000,3
862114_2022-05-24_14:15:00.000000,2022-05-24,14:15:00.000000,3
862240_2022-05-24_14:15:00.000000,2022-05-24,14:15:00.000000,3
862238_2022-05-24_14:15:00.000000,2022-05-24,14:15:00.000000,3
862114_2022-05-24_16:00:00.000000,2022-05-24,16:00:00.000000,3
862114_2022-05-24_16:15:00.000000,2022-05-24,16:15:00.000000,3
862222_2022-05-25_09:30:00.000000,2022-05-25,09:30:00.000000,3
862162_2022-05-25_09:30:00.000000,2022-05-25,09:30:00.000000,3
862164_2022-05-25_09:30:00.000000,2022-05-25,09:30:00.000000,3
862222_2022-05-25_10:45:00.000000,2022-05-25,10:45:00.000000,3
862162_2022-05-25_10:45:00.000000,2022-05-25,10:45:00.000000,3
862164_2022-05-25_10:45:00.000000,2022-05-25,10:45:00.000000,3
862222_2022-05-25_12:30:00.000000,2022-05-25,12:30:00.000000,3
862162_2022-05-25_12:30:00.000000,2022-05-25,12:30:00.000000,3
862164_2022-05-25_12:30:00.000000,2022-05-25,12:30:00.000000,3
862222_2022-05-25_16:45:00.000000,2022-05-25,16:45:00.000000,3
862222_2022-05-25_17:30:00.000000,2022-05-25,17:30:00.000000,3
862222_2022-05-25_17:30:00.000000,2022-05-25,17:30:00.000000,3
862222_2022-05-25_18:00:00.000000,2022-05-25,18:00:00.000000,3
862222_2022-05-25_18:15:00.000000,2022-05-25,18:15:00.000000,3
862222_2022-05-25_18:15:00.000000,2022-05-25,18:15:00.000000,2
862222_2022-05-25_18:30:00.000000,2022-05-25,18:30:00.000000,2
862222_2022-05-25_18:15:00.000000,2022-05-25,18:15:00.000000,4
862222_2022-05-25_18:30:00.000000,2022-05-25,18:30:00.000000,4
862222_2022-05-25_18:45:00.000000,2022-05-25,18:45:00.000000,4
862344_2022-05-26_06:45:00.000000,2022-05-26,06:45:00.000000,3
862344_2022-05-26_14:45:00.000000,2022-05-26,14:45:00.000000,3
862356_2022-05-27_10:45:00.000000,2022-05-27,10:45:00.000000,3
862188_2022-05-27_10:45:00.000000,2022-05-27,10:45:00.000000,3
862186_2022-05-27_10:45:00.000000,2022-05-27,10:45:00.000000,3
862356_2022-05-27_12:45:00.000000,2022-05-27,12:45:00.000000,3
862188_2022-05-27_12:45:00.000000,2022-05-27,12:45:00.000000,3
862186_2022-05-27_12:45:00.000000,2022-05-27,12:45:00.000000,3
862356_2022-05-27_14:15:00.000000,2022-05-27,14:15:00.000000,3
862188_2022-05-27_14:15:00.000000,2022-05-27,14:15:00.000000,3
862186_2022-05-27_14:15:00.000000,2022-05-27,14:15:00.000000,3
862356_2022-05-27_14:30:00.000000,2022-05-27,14:30:00.000000,3
862188_2022-05-27_14:30:00.000000,2022-05-27,14:30:00.000000,3
862186_2022-05-27_14:30:00.000000,2022-05-27,14:30:00.000000,3
862356_2022-05-27_18:45:00.000000,2022-05-27,18:45:00.000000,3
862352_2022-05-28_09:30:00.000000,2022-05-28,09:30:00.000000,3
862198_2022-05-28_09:30:00.000000,2022-05-28,09:30:00.000000,3
862200_2022-05-28_09:30:00.000000,2022-05-28,09:30:00.000000,3
862352_2022-05-28_12:00:00.000000,2022-05-28,12:00:00.000000,3
862198_2022-05-28_12:00:00.000000,2022-05-28,12:00:00.000000,3
862200_2022-05-28_12:00:00.000000,2022-05-28,12:00:00.000000,3
862352_2022-05-28_12:45:00.000000,2022-05-28,12:45:00.000000,3
862198_2022-05-28_12:45:00.000000,2022-05-28,12:45:00.000000,3
862200_2022-05-28_12:45:00.000000,2022-05-28,12:45:00.000000,3
862352_2022-05-28_13:00:00.000000,2022-05-28,13:00:00.000000,3
862198_2022-05-28_13:00:00.000000,2022-05-28,13:00:00.000000,3
862200_2022-05-28_13:00:00.000000,2022-05-28,13:00:00.000000,3
862352_2022-05-28_13:45:00.000000,2022-05-28,13:45:00.000000,3
862198_2022-05-28_13:45:00.000000,2022-05-28,13:45:00.000000,3
862200_2022-05-28_13:45:00.000000,2022-05-28,13:45:00.000000,3
862352_2022-05-28_15:00:00.000000,2022-05-28,15:00:00.000000,3
862352_2022-05-28_15:45:00.000000,2022-05-28,15:45:00.000000,2
862352_2022-05-28_16:00:00.000000,2022-05-28,16:00:00.000000,2
862352_2022-05-28_16:45:00.000000,2022-05-28,16:45:00.000000,3
862352_2022-05-28_18:45:00.000000,2022-05-28,18:45:00.000000,3
862352_2022-05-28_19:00:00.000000,2022-05-28,19:00:00.000000,3
862348_2022-05-29_06:45:00.000000,2022-05-29,06:45:00.000000,3
862348_2022-05-29_10:45:00.000000,2022-05-29,10:45:00.000000,3
862348_2022-05-29_12:45:00.000000,2022-05-29,12:45:00.000000,3
862348_2022-05-29_14:00:00.000000,2022-05-29,14:00:00.000000,3
862348_2022-05-29_14:30:00.000000,2022-05-29,14:30:00.000000,3
862616_2022-05-31_07:15:00.000000,2022-05-31,07:15:00.000000,3
862616_2022-05-31_08:00:00.000000,2022-05-31,08:00:00.000000,3
862616_2022-05-31_09:00:00.000000,2022-05-31,09:00:00.000000,3
862616_2022-05-31_09:30:00.000000,2022-05-31,09:30:00.000000,3
862616_2022-05-31_10:30:00.000000,2022-05-31,10:30:00.000000,3
862616_2022-05-31_11:45:00.000000,2022-05-31,11:45:00.000000,3
862616_2022-05-31_12:15:00.000000,2022-05-31,12:15:00.000000,3
862616_2022-05-31_13:00:00.000000,2022-05-31,13:00:00.000000,3
862616_2022-05-31_14:45:00.000000,2022-05-31,14:45:00.000000,3
862622_2022-06-01_12:00:00.000000,2022-06-01,12:00:00.000000,3
862622_2022-06-01_12:30:00.000000,2022-06-01,12:30:00.000000,3
862622_2022-06-01_13:00:00.000000,2022-06-01,13:00:00.000000,3
863014_2022-06-02_09:45:00.000000,2022-06-02,09:45:00.000000,3
863016_2022-06-02_09:45:00.000000,2022-06-02,09:45:00.000000,3
863014_2022-06-02_13:00:00.000000,2022-06-02,13:00:00.000000,3
863016_2022-06-02_13:00:00.000000,2022-06-02,13:00:00.000000,3
862918_2022-06-03_07:00:00.000000,2022-06-03,07:00:00.000000,3
862918_2022-06-03_08:15:00.000000,2022-06-03,08:15:00.000000,3
862918_2022-06-03_09:00:00.000000,2022-06-03,09:00:00.000000,3
862918_2022-06-03_09:45:00.000000,2022-06-03,09:45:00.000000,3
862918_2022-06-03_10:00:00.000000,2022-06-03,10:00:00.000000,3
862914_2022-06-04_06:45:00.000000,2022-06-04,06:45:00.000000,3
862914_2022-06-04_10:30:00.000000,2022-06-04,10:30:00.000000,3
862906_2022-06-06_10:15:00.000000,2022-06-06,10:15:00.000000,3
862906_2022-06-06_12:30:00.000000,2022-06-06,12:30:00.000000,3
862906_2022-06-06_16:15:00.000000,2022-06-06,16:15:00.000000,3
864032_2022-06-11_12:00:00.000000,2022-06-11,12:00:00.000000,3
864032_2022-06-11_18:30:00.000000,2022-06-11,18:30:00.000000,3
864028_2022-06-12_10:45:00.000000,2022-06-12,10:45:00.000000,3
864028_2022-06-12_11:00:00.000000,2022-06-12,11:00:00.000000,3
864028_2022-06-12_12:00:00.000000,2022-06-12,12:00:00.000000,3
864028_2022-06-12_14:30:00.000000,2022-06-12,14:30:00.000000,3
864024_2022-06-13_09:30:00.000000,2022-06-13,09:30:00.000000,3
864024_2022-06-13_15:15:00.000000,2022-06-13,15:15:00.000000,3
864024_2022-06-13_15:45:00.000000,2022-06-13,15:45:00.000000,3
864024_2022-06-13_16:00:00.000000,2022-06-13,16:00:00.000000,3
864024_2022-06-13_17:30:00.000000,2022-06-13,17:30:00.000000,3
864024_2022-06-13_18:15:00.000000,2022-06-13,18:15:00.000000,3
864024_2022-06-13_19:00:00.000000,2022-06-13,19:00:00.000000,3
864586_2022-06-15_07:15:00.000000,2022-06-15,07:15:00.000000,3
864586_2022-06-15_09:00:00.000000,2022-06-15,09:00:00.000000,3
864586_2022-06-15_11:00:00.000000,2022-06-15,11:00:00.000000,3
864836_2022-06-17_07:00:00.000000,2022-06-17,07:00:00.000000,3
864836_2022-06-17_07:30:00.000000,2022-06-17,07:30:00.000000,3
864836_2022-06-17_09:30:00.000000,2022-06-17,09:30:00.000000,3
864836_2022-06-17_12:45:00.000000,2022-06-17,12:45:00.000000,3
864836_2022-06-17_13:00:00.000000,2022-06-17,13:00:00.000000,3
864836_2022-06-17_13:45:00.000000,2022-06-17,13:45:00.000000,3
864636_2022-06-19_07:00:00.000000,2022-06-19,07:00:00.000000,3
864636_2022-06-19_11:00:00.000000,2022-06-19,11:00:00.000000,3
864640_2022-06-20_13:15:00.000000,2022-06-20,13:15:00.000000,3
864648_2022-06-22_10:15:00.000000,2022-06-22,10:15:00.000000,3
864648_2022-06-22_13:30:00.000000,2022-06-22,13:30:00.000000,3
864648_2022-06-22_16:15:00.000000,2022-06-22,16:15:00.000000,3
864648_2022-06-22_17:15:00.000000,2022-06-22,17:15:00.000000,3
864648_2022-06-22_18:45:00.000000,2022-06-22,18:45:00.000000,3
864892_2022-06-25_08:15:00.000000,2022-06-25,08:15:00.000000,3
864892_2022-06-25_09:30:00.000000,2022-06-25,09:30:00.000000,3
864892_2022-06-25_09:30:00.000000,2022-06-25,09:30:00.000000,3
864892_2022-06-25_09:45:00.000000,2022-06-25,09:45:00.000000,3
864892_2022-06-25_10:00:00.000000,2022-06-25,10:00:00.000000,3
864892_2022-06-25_10:15:00.000000,2022-06-25,10:15:00.000000,3
864892_2022-06-25_10:30:00.000000,2022-06-25,10:30:00.000000,3
864892_2022-06-25_10:45:00.000000,2022-06-25,10:45:00.000000,3
864892_2022-06-25_13:45:00.000000,2022-06-25,13:45:00.000000,3
864892_2022-06-25_14:00:00.000000,2022-06-25,14:00:00.000000,3
864892_2022-06-25_16:15:00.000000,2022-06-25,16:15:00.000000,3
864892_2022-06-25_17:00:00.000000,2022-06-25,17:00:00.000000,3
864892_2022-06-25_19:00:00.000000,2022-06-25,19:00:00.000000,3
864896_2022-06-26_07:15:00.000000,2022-06-26,07:15:00.000000,3
864896_2022-06-26_08:00:00.000000,2022-06-26,08:00:00.000000,3
864896_2022-06-26_10:00:00.000000,2022-06-26,10:00:00.000000,3
864896_2022-06-26_11:15:00.000000,2022-06-26,11:15:00.000000,3
864896_2022-06-26_13:45:00.000000,2022-06-26,13:45:00.000000,3
864896_2022-06-26_15:45:00.000000,2022-06-26,15:45:00.000000,3
864896_2022-06-26_17:15:00.000000,2022-06-26,17:15:00.000000,3
864896_2022-06-26_18:15:00.000000,2022-06-26,18:15:00.000000,3
865080_2022-07-01_07:45:00.000000,2022-07-01,07:45:00.000000,3
865080_2022-07-01_11:30:00.000000,2022-07-01,11:30:00.000000,3
865080_2022-07-01_11:45:00.000000,2022-07-01,11:45:00.000000,3
865080_2022-07-01_11:45:00.000000,2022-07-01,11:45:00.000000,3
865080_2022-07-01_16:30:00.000000,2022-07-01,16:30:00.000000,3
865380_2022-07-02_08:30:00.000000,2022-07-02,08:30:00.000000,3
865380_2022-07-02_11:15:00.000000,2022-07-02,11:15:00.000000,3
865380_2022-07-02_13:00:00.000000,2022-07-02,13:00:00.000000,3
865380_2022-07-02_13:15:00.000000,2022-07-02,13:15:00.000000,3
865380_2022-07-02_14:45:00.000000,2022-07-02,14:45:00.000000,5
865380_2022-07-02_16:15:00.000000,2022-07-02,16:15:00.000000,3
865380_2022-07-02_16:30:00.000000,2022-07-02,16:30:00.000000,5
865380_2022-07-02_18:15:00.000000,2022-07-02,18:15:00.000000,3
865380_2022-07-02_18:15:00.000000,2022-07-02,18:15:00.000000,3
865384_2022-07-03_06:45:00.000000,2022-07-03,06:45:00.000000,3
865384_2022-07-03_08:15:00.000000,2022-07-03,08:15:00.000000,3
865384_2022-07-03_08:15:00.000000,2022-07-03,08:15:00.000000,3
865384_2022-07-03_08:30:00.000000,2022-07-03,08:30:00.000000,3
865384_2022-07-03_08:15:00.000000,2022-07-03,08:15:00.000000,3
865384_2022-07-03_08:30:00.000000,2022-07-03,08:30:00.000000,3
865384_2022-07-03_08:45:00.000000,2022-07-03,08:45:00.000000,3
865384_2022-07-03_12:15:00.000000,2022-07-03,12:15:00.000000,3
865384_2022-07-03_12:30:00.000000,2022-07-03,12:30:00.000000,3
865384_2022-07-03_12:45:00.000000,2022-07-03,12:45:00.000000,3
865384_2022-07-03_13:00:00.000000,2022-07-03,13:00:00.000000,3
865384_2022-07-03_13:15:00.000000,2022-07-03,13:15:00.000000,3
865384_2022-07-03_13:30:00.000000,2022-07-03,13:30:00.000000,3
865384_2022-07-03_13:00:00.000000,2022-07-03,13:00:00.000000,3
865384_2022-07-03_16:00:00.000000,2022-07-03,16:00:00.000000,3
865384_2022-07-03_16:15:00.000000,2022-07-03,16:15:00.000000,3
865396_2022-07-06_06:30:00.000000,2022-07-06,06:30:00.000000,3
865396_2022-07-06_07:15:00.000000,2022-07-06,07:15:00.000000,3
865396_2022-07-06_18:15:00.000000,2022-07-06,18:15:00.000000,3
865396_2022-07-06_18:30:00.000000,2022-07-06,18:30:00.000000,3
865396_2022-07-06_18:45:00.000000,2022-07-06,18:45:00.000000,3
865396_2022-07-06_19:00:00.000000,2022-07-06,19:00:00.000000,3
865492_2022-07-08_06:51:00.000000,2022-07-08,06:51:00.000000,3
865492_2022-07-08_07:51:00.000000,2022-07-08,07:51:00.000000,3
865492_2022-07-08_08:06:00.000000,2022-07-08,08:06:00.000000,3
865492_2022-07-08_09:36:00.000000,2022-07-08,09:36:00.000000,3
865492_2022-07-08_10:36:00.000000,2022-07-08,10:36:00.000000,3
865492_2022-07-08_11:21:00.000000,2022-07-08,11:21:00.000000,3
865492_2022-07-08_11:36:00.000000,2022-07-08,11:36:00.000000,3
865492_2022-07-08_12:06:00.000000,2022-07-08,12:06:00.000000,3
865492_2022-07-08_13:21:00.000000,2022-07-08,13:21:00.000000,3
865504_2022-07-11_08:30:00.000000,2022-07-11,08:30:00.000000,3
866076_2022-07-15_07:15:00.000000,2022-07-15,07:15:00.000000,3
866076_2022-07-15_07:30:00.000000,2022-07-15,07:30:00.000000,3
866076_2022-07-15_09:15:00.000000,2022-07-15,09:15:00.000000,3
866076_2022-07-15_10:00:00.000000,2022-07-15,10:00:00.000000,3
866076_2022-07-15_10:00:00.000000,2022-07-15,10:00:00.000000,3
866076_2022-07-15_10:15:00.000000,2022-07-15,10:15:00.000000,3
866076_2022-07-15_11:00:00.000000,2022-07-15,11:00:00.000000,3
866076_2022-07-15_11:45:00.000000,2022-07-15,11:45:00.000000,3
866076_2022-07-15_12:00:00.000000,2022-07-15,12:00:00.000000,3
866076_2022-07-15_12:30:00.000000,2022-07-15,12:30:00.000000,3
866076_2022-07-15_13:15:00.000000,2022-07-15,13:15:00.000000,3
866076_2022-07-15_14:00:00.000000,2022-07-15,14:00:00.000000,3
866076_2022-07-15_15:45:00.000000,2022-07-15,15:45:00.000000,3
866076_2022-07-15_16:00:00.000000,2022-07-15,16:00:00.000000,3
866080_2022-07-16_09:45:00.000000,2022-07-16,09:45:00.000000,3
866080_2022-07-16_12:00:00.000000,2022-07-16,12:00:00.000000,3
866080_2022-07-16_18:15:00.000000,2022-07-16,18:15:00.000000,3
866080_2022-07-16_18:30:00.000000,2022-07-16,18:30:00.000000,3
866088_2022-07-18_08:15:00.000000,2022-07-18,08:15:00.000000,3
866088_2022-07-18_14:30:00.000000,2022-07-18,14:30:00.000000,3
866088_2022-07-18_15:30:00.000000,2022-07-18,15:30:00.000000,3
866088_2022-07-18_15:45:00.000000,2022-07-18,15:45:00.000000,3
866088_2022-07-18_16:45:00.000000,2022-07-18,16:45:00.000000,3
866088_2022-07-18_17:30:00.000000,2022-07-18,17:30:00.000000,3
865908_2022-07-19_11:00:00.000000,2022-07-19,11:00:00.000000,3
865908_2022-07-19_11:00:00.000000,2022-07-19,11:00:00.000000,3
865908_2022-07-19_15:45:00.000000,2022-07-19,15:45:00.000000,3
865908_2022-07-19_16:15:00.000000,2022-07-19,16:15:00.000000,3
865908_2022-07-19_18:00:00.000000,2022-07-19,18:00:00.000000,3
865908_2022-07-19_18:45:00.000000,2022-07-19,18:45:00.000000,3
866590_2022-07-22_07:00:00.000000,2022-07-22,07:00:00.000000,3
866590_2022-07-22_08:30:00.000000,2022-07-22,08:30:00.000000,3
866590_2022-07-22_08:45:00.000000,2022-07-22,08:45:00.000000,3
866590_2022-07-22_19:00:00.000000,2022-07-22,19:00:00.000000,3
866594_2022-07-23_08:45:00.000000,2022-07-23,08:45:00.000000,3
866594_2022-07-23_09:30:00.000000,2022-07-23,09:30:00.000000,3
866594_2022-07-23_14:00:00.000000,2022-07-23,14:00:00.000000,3
866594_2022-07-23_15:00:00.000000,2022-07-23,15:00:00.000000,3
866594_2022-07-23_15:15:00.000000,2022-07-23,15:15:00.000000,3
866594_2022-07-23_16:00:00.000000,2022-07-23,16:00:00.000000,3
866594_2022-07-23_18:30:00.000000,2022-07-23,18:30:00.000000,3
866638_2022-07-24_07:00:00.000000,2022-07-24,07:00:00.000000,3
866638_2022-07-24_08:30:00.000000,2022-07-24,08:30:00.000000,3
866638_2022-07-24_11:15:00.000000,2022-07-24,11:15:00.000000,3
866638_2022-07-24_12:15:00.000000,2022-07-24,12:15:00.000000,3
866638_2022-07-24_13:00:00.000000,2022-07-24,13:00:00.000000,3
866776_2022-07-25_07:26:00.000000,2022-07-25,07:26:00.000000,3
866846_2022-07-27_14:26:00.000000,2022-07-27,14:26:00.000000,3
866858_2022-07-30_13:11:00.000000,2022-07-30,13:11:00.000000,3
867624_2022-08-01_12:01:00.000000,2022-08-01,12:01:00.000000,3
867632_2022-08-03_09:45:00.000000,2022-08-03,09:45:00.000000,3
867632_2022-08-03_10:15:00.000000,2022-08-03,10:15:00.000000,3
867632_2022-08-03_16:30:00.000000,2022-08-03,16:30:00.000000,3
867632_2022-08-03_16:45:00.000000,2022-08-03,16:45:00.000000,3
867632_2022-08-03_17:00:00.000000,2022-08-03,17:00:00.000000,2
867632_2022-08-03_17:15:00.000000,2022-08-03,17:15:00.000000,2
867632_2022-08-03_17:00:00.000000,2022-08-03,17:00:00.000000,2
867632_2022-08-03_17:15:00.000000,2022-08-03,17:15:00.000000,2
867632_2022-08-03_17:45:00.000000,2022-08-03,17:45:00.000000,3
867636_2022-08-04_13:00:00.000000,2022-08-04,13:00:00.000000,3
867636_2022-08-04_13:00:00.000000,2022-08-04,13:00:00.000000,3
867640_2022-08-05_06:45:00.000000,2022-08-05,06:45:00.000000,2
867640_2022-08-05_07:00:00.000000,2022-08-05,07:00:00.000000,2
867640_2022-08-05_09:45:00.000000,2022-08-05,09:45:00.000000,3
867640_2022-08-05_10:45:00.000000,2022-08-05,10:45:00.000000,3
867640_2022-08-05_11:45:00.000000,2022-08-05,11:45:00.000000,3
867640_2022-08-05_12:45:00.000000,2022-08-05,12:45:00.000000,3
867640_2022-08-05_13:00:00.000000,2022-08-05,13:00:00.000000,3
867640_2022-08-05_16:30:00.000000,2022-08-05,16:30:00.000000,3
867640_2022-08-05_17:45:00.000000,2022-08-05,17:45:00.000000,3
867644_2022-08-06_06:45:00.000000,2022-08-06,06:45:00.000000,3
867644_2022-08-06_07:15:00.000000,2022-08-06,07:15:00.000000,3
867644_2022-08-06_07:45:00.000000,2022-08-06,07:45:00.000000,3
867644_2022-08-06_15:00:00.000000,2022-08-06,15:00:00.000000,3
867888_2022-08-10_14:30:00.000000,2022-08-10,14:30:00.000000,3
